Uniprot_acc	GPCR	Uniprot_id	class
Q5UAW9	GPR157	GP157_HUMAN	Other
Q9UBS5	GABBR1	GABR1_HUMAN	classC
O75899	GABBR2	GABR2_HUMAN	classC
Q5T6X5	GPRC6A	GPC6A_HUMAN	classC
Q14831	GRM7	GRM7_HUMAN	classC
Q14833	GRM4	GRM4_HUMAN	classC
O00222	GRM8	GRM8_HUMAN	classC
Q14832	GRM3	GRM3_HUMAN	classC
O15303	GRM6	GRM6_HUMAN	classC
Q14416	GRM2	GRM2_HUMAN	classC
Q7RTX0	TAS1R3	TS1R3_HUMAN	classC
Q7RTX1	TAS1R1	TS1R1_HUMAN	classC
Q8TE23	TAS1R2	TS1R2_HUMAN	classC
Q8NFN8	GPR156	GP156_HUMAN	classC
Q9NQ84	GPRC5C	GPC5C_HUMAN	classC
Q9NZH0	GPRC5B	GPC5B_HUMAN	classC
Q8NFJ5	GPRC5A	RAI3_HUMAN	classC
Q9NZD1	GPRC5D	GPC5D_HUMAN	classC
Q99835	SMO	SMO_HUMAN	Frizzeled
O60353	FZD6	FZD6_HUMAN	Frizzeled
Q9H461	FZD8	FZD8_HUMAN	Frizzeled
Q9NPG1	FZD3	FZD3_HUMAN	Frizzeled
Q9UP38	FZD1	FZD1_HUMAN	Frizzeled
O00144	FZD9	FZD9_HUMAN	Frizzeled
Q13467	FZD5	FZD5_HUMAN	Frizzeled
Q9ULW2	FZD10	FZD10_HUMAN	Frizzeled
O75084	FZD7	FZD7_HUMAN	Frizzeled
Q14332	FZD2	FZD2_HUMAN	Frizzeled
Q9ULV1	FZD4	FZD4_HUMAN	Frizzeled
Q9HBX8	LGR6	LGR6_HUMAN	classA
O75473	LGR5	LGR5_HUMAN	classA
Q86SP6	GPR149	GP149_HUMAN	classA
Q5VW38	GPR107	GP107_HUMAN	Other
Q96N19	GPR137	G137A_HUMAN	Other
P51810	GPR143	GP143_HUMAN	Other
P35410	MAS1L	MAS1L_HUMAN	classA
Q86W33	TPRA1	TPRA1_HUMAN	Other
Q96AM1	MRGPRF	MRGRF_HUMAN	classA
Q9UJ42	GPR160	GP160_HUMAN	classA
Q16570	ACKR1	ACKR1_HUMAN	classA
Q86SM5	MRGPRG	MRGRG_HUMAN	classA
P59534	TAS2R39	T2R39_HUMAN	Taste
P59533	TAS2R38	T2R38_HUMAN	Taste
P59535	TAS2R40	T2R40_HUMAN	Taste
P59541	TAS2R30	T2R30_HUMAN	Taste
P59551	TAS2R60	T2R60_HUMAN	Taste
Q9NYW3	TAS2R7	TA2R7_HUMAN	Taste
Q9NYV8	TAS2R14	T2R14_HUMAN	Taste
Q9NYW6	TAS2R3	TA2R3_HUMAN	Taste
Q7RTR8	TAS2R42	T2R42_HUMAN	Taste
Q9NYW1	TAS2R9	TA2R9_HUMAN	Taste
Q9NYW2	TAS2R8	TA2R8_HUMAN	Taste
P59543	TAS2R20	T2R20_HUMAN	Taste
P59540	TAS2R46	T2R46_HUMAN	Taste
P59538	TAS2R31	T2R31_HUMAN	Taste
P59537	TAS2R43	T2R43_HUMAN	Taste
P59536	TAS2R41	T2R41_HUMAN	Taste
Q9NYW0	TAS2R10	T2R10_HUMAN	Taste
Q9NYV9	TAS2R13	T2R13_HUMAN	Taste
Q9NYW4	TAS2R5	TA2R5_HUMAN	Taste
Q9NYW5	TAS2R4	TA2R4_HUMAN	Taste
Q9NYW7	TAS2R1	TA2R1_HUMAN	Taste
P59544	TAS2R50	T2R50_HUMAN	Taste
P59542	TAS2R19	T2R19_HUMAN	Taste
P59539	TAS2R45	T2R45_HUMAN	Taste
Q9NYV7	TAS2R16	T2R16_HUMAN	Taste
